,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,WBC,39.494269999999844,0.6862856942891523,121072.79951774057,369053.6130589231,3694502.8108068015,4.912149738905872
1,NEM,25.40486499999976,0.6762510849522269,2152.357968887131,7301.68486730284,94904.7520683632,3.7622494716084924
2,WES,49.53019499999998,0.9403050939597474,861914.3620812166,512848.21426185936,8839444.780962693,3.4326340727397193
3,MQG,22.74325500000006,0.9911862022207136,1270.9159054236538,3329.372482579481,42322.04808369618,12.547377608717104
4,WOW,19.034089999999836,0.851720428858005,359.3783192564939,1013.5706531449946,13046.131518436829,3.522752897922148
5,REA,73.90785500000044,0.09440077283666325,5212085.0542313075,7611994.002856109,161167687.33788404,3.872455987520603
6,SUN,55.30943000000028,0.1864957729424453,170916.87011899034,440132.36864193866,9894170.05318413,6.220786508489174
7,XRO,47.56720999999985,0.8664127069122399,2730015.7566876025,854876.5038642633,12100154.922480932,4.835699263216236
8,LNW,57.78569500000076,0.16071575740056146,799572.3909754433,3954092.509770209,47836183.45576537,3.1667941649833233
9,CAR,77.84989000000033,0.866999692461209,2404593.61622108,1894763.4916790796,38280384.053307615,44.66594319318267
10,NXT,89.06164000000001,0.49499254170262247,22243113.91433411,69535308.05155672,997730586.6242577,11.271706534416616
11,IFT,33.59753,0.7771322406923706,1553.8674054953317,5789.943941320562,62833.96828140265,5.142504214212076
12,AGL,44.48173000000004,0.011953940384942284,34908.059884102055,91344.01875748624,2983647.916507358,6.743373891718595
13,GQG,32.148444999999775,0.39694615908048414,8017.6182221403615,24580.11788230056,245222.62296785467,6.742596217455439
14,ALX,23.193674999999814,0.9648799889958064,1589.2752724702011,3639.616407703332,34293.43121942078,7.313907933398472
15,LYC,32.80432499999989,0.38211994770410984,5436.871584995053,12681.541848150247,281700.73826104944,2.9226760813580652
16,PMV,94.82974000000063,0.22771672110027855,910608138.2095962,1666362219.05526,21494324502.29018,4.916964355243547
17,HUB,246.54887000000053,0.002112155584683693,523599820866021.9,1525473953692574.0,3.816721365939793e+16,5.696929955678123
18,LOV,66.01123999999973,0.1292560979149467,5531097.939983695,18041079.469327934,265415051.09584084,5.991256889080995
19,SUL,48.05734000000005,0.24103104724225358,5077132.504779514,18100033.796962027,271866522.0990784,5.325094098880487
20,DMP,92.05241000000102,0.19314476685840912,128577087.21169607,657810441.3919364,9435450712.444262,3.4500009135774836
21,WGX,38.618294999999925,0.5264711687559898,19693.605055238975,32260.028112152937,935252.8559961808,5.548592889849281
22,APE,61.803639999999746,0.2733849923804478,1479516.752365486,5485676.490758404,71067565.34544715,5.6010019524824965
23,MP1,119.33006999999942,0.440366015362988,886888008.2030181,994144328.3852793,24622776250.478626,11.306605229681578
24,DTL,40.9814849999999,0.17433578358982493,27129.191159908034,99468.70724899894,1070717.0514921802,5.223952361872533
25,CKF,45.942199999999985,1.0374516304193382,inf,243176.45845708277,3954156.9279865595,4.975673791122923
26,HSN,44.69521999999998,0.026207266699583235,40527.776056988514,126147.60114723734,3109590.4850896234,6.479753521126778
