,Symbol,Sharpe,Sortino
0,TSLA,0.97,2.38
1,FREY,0.6,1.22
2,SGML,1.69,5.07
3,KRBN,1.58,3.5
4,FIVN,1.07,2.61
5,CHRD,2.06,7.17
6,ASO,1.26,2.49
7,DJCB,1.65,2.74
8,CCAP,1.25,2.13
9,CCRV,1.76,3.45
10,TEQI,0.79,1.31
11,XOMAP,1.29,3.01
12,ANVS,0.75,2.11
13,NVQ,0.71,1.1
14,MGMT,0.62,1.0
15,THRY,0.99,2.11
16,AMER,0.81,1.55
17,ONEW,0.68,1.05
18,KMLM,1.67,4.51
19,VNSE,0.61,0.95
20,BDCX,1.05,1.95
21,COGT,0.61,1.49
22,CRC,1.34,2.84
23,AMTR,1.66,2.84
24,DEN,1.59,3.8
25,KWT,1.8,3.43
26,PXSAP,0.96,1.66
27,GETY,0.63,4.34
28,PTRS,1.34,2.57
29,AZ,0.68,2.32
30,NREF,0.96,1.61
31,USAI,1.54,2.54
32,CERE,0.7,1.9
33,PALC,0.66,1.15
34,AMND,1.55,2.62
35,BSBK,1.1,3.67
36,ALTL,0.87,2.08
37,LEGN,0.83,1.93
38,FBCV,0.75,1.28
39,SNPX,0.6,1.31
40,VEL,1.22,3.05
41,REAX,0.75,2.05
42,IVRA,0.95,1.7
43,FMIL,0.73,1.15
44,AMNA,1.65,2.84
45,PFHD,1.39,3.82
46,KVLE,0.72,1.24
47,MLPR,1.65,2.81
48,LBAY,1.35,2.64
49,PFX,1.24,3.43
50,LFG,0.9,2.25
