,Symbol,Sharpe,Sortino
0,SPY,0.87,1.38
1,TSLA,0.97,2.38
2,GETY,0.63,4.34
3,VOO,0.87,1.38
4,SPLG,0.87,1.38
5,NEE,1.16,1.91
6,FREY,0.6,1.22
7,KDP,1.05,2.11
8,FLNG,1.21,2.27
9,SCHD,0.97,1.59
10,CRWD,1.21,2.37
11,V,1.21,2.26
12,DDOG,0.92,1.89
13,JEPI,0.65,1.13
14,XLV,1.03,1.76
15,DGRO,0.73,1.15
16,XLP,0.92,1.55
17,ZS,0.94,1.76
18,VUG,0.85,1.39
19,SCHG,0.87,1.43
20,TRMD,1.1,2.17
21,TTD,1.05,2.39
22,AVGO,1.06,2.01
23,FISV,0.92,1.66
24,GMAB,0.93,1.66
25,VIG,0.89,1.44
26,VICI,0.7,1.0
27,MDB,1.16,2.22
28,DHR,0.98,1.8
29,KARS,0.85,1.48
30,BNTX,1.0,2.14
31,DG,0.91,1.61
32,SGML,1.69,5.07
33,MA,1.16,2.01
34,IHI,0.96,1.58
35,ZTS,0.95,1.6
36,DRIV,0.82,1.35
37,PAYX,0.87,1.45
38,FUTY,0.76,1.22
39,TEAM,0.96,1.68
40,BST,0.8,1.34
41,CHTR,0.88,1.57
42,RACE,0.89,1.7
43,WFRD,1.46,3.85
44,VONG,0.91,1.51
45,ACN,0.89,1.47
46,MGC,0.88,1.41
47,KEYS,0.85,1.48
48,ORLY,1.02,1.91
49,DT,0.56,0.89
50,IUS,0.87,1.42
51,SFBS,0.87,1.6
52,OMFL,0.65,1.07
53,RYT,0.85,1.39
54,CDC,0.84,1.37
55,VOOG,0.92,1.51
56,RSG,1.09,1.87
57,NOW,1.03,1.87
58,COGT,0.61,1.49
59,URNM,1.06,2.65
60,XLG,0.88,1.43
61,VDC,0.93,1.58
62,NOVA,0.75,1.43
63,SPGP,0.95,1.49
64,MGK,0.88,1.47
65,SEDG,0.9,1.66
66,CHCT,0.78,1.25
67,ARGX,1.07,2.21
68,PCTY,0.87,1.54
69,VV,0.85,1.35
70,USMV,1.0,1.6
71,ONEQ,0.88,1.45
72,IQV,0.76,1.4
73,AVUV,0.56,0.81
74,VGT,0.97,1.69
75,ASO,1.26,2.49
76,BJ,1.06,2.37
77,STZ,0.89,1.75
78,RSF,0.99,1.6
79,NSA,0.97,1.79
80,RCM,1.0,1.74
81,CTVA,1.28,2.35
82,RHS,0.96,1.71
83,SPT,1.0,2.25
84,DGRW,0.79,1.26
85,WING,0.81,1.9
86,CCAP,1.25,2.13
87,NREF,0.96,1.61
88,SDY,0.88,1.41
89,KRTX,0.91,2.59
90,CRC,1.34,2.84
91,AVUS,0.55,0.82
92,IRT,0.76,1.1
93,BUG,0.78,1.51
94,BR,1.05,1.86
95,QQQE,0.91,1.52
96,ROAD,1.07,2.44
97,THRY,0.99,2.11
98,PFFA,0.64,1.08
99,IYK,0.92,1.61
100,FTEC,0.95,1.64
101,BIP,1.03,1.74
102,REXR,1.02,1.75
103,SWAV,1.57,3.35
104,VHT,1.01,1.67
105,FRHC,1.5,4.07
106,MBIN,0.62,0.99
107,WMS,0.81,1.41
108,AWK,1.1,1.94
109,IDRV,0.62,1.03
110,MOTO,0.59,0.96
111,BAH,0.94,1.83
112,FIVN,1.07,2.61
113,RYH,0.91,1.48
114,DIVO,0.81,1.31
115,BSCM,0.89,1.64
116,SPUS,0.65,1.04
117,GRN,1.29,2.5
118,FBCV,0.75,1.28
119,KRBN,1.58,3.5
120,ENSG,0.88,1.64
121,XRLV,0.77,1.15
122,TMDX,0.82,1.66
123,VNSE,0.61,0.95
124,HLNE,0.63,1.18
125,MDRRP,0.85,3.08
126,AVLR,0.84,1.48
127,CHNG,0.58,1.0
128,EQWL,0.86,1.37
129,ALTL,0.87,2.08
130,LNTH,0.88,2.47
131,ELV,0.92,1.64
132,SCCC,1.84,3.1
133,NVQ,0.71,1.1
134,MARB,0.63,0.96
135,ACES,0.93,1.6
136,SNPX,0.6,1.31
137,CMDY,0.88,1.34
138,FNGS,0.77,1.38
139,FLLV,0.8,1.23
140,DBEH,0.67,1.2
141,WOMN,0.9,1.51
142,RILYL,0.69,1.31
143,PLNT,0.85,1.42
144,CCRV,1.76,3.45
145,TRUP,0.8,1.46
146,DEN,1.59,3.8
147,CWEN,0.9,1.49
148,USAI,1.54,2.54
149,XPEL,1.16,2.51
150,ANET,0.85,1.44
151,NACP,0.81,1.31
152,KIDS,0.66,1.16
153,VPU,0.84,1.33
154,NVEE,0.92,1.68
155,BLD,0.86,1.44
156,PBTP,0.81,1.24
157,PLMR,0.57,0.94
158,CNRG,1.11,2.15
159,TDG,1.0,1.58
160,REAX,0.75,2.05
161,PALC,0.66,1.15
162,NIC,0.89,1.68
163,RILYM,0.82,1.44
164,EVA,1.09,1.83
165,MNRL,0.64,1.03
166,TW,0.6,1.05
167,MGMT,0.62,1.0
168,UTES,0.81,1.35
169,FIVG,0.53,0.86
170,CSWI,0.82,1.47
171,MSCI,0.99,1.67
172,HLI,0.88,1.66
173,KWT,1.8,3.43
174,KMLM,1.67,4.51
175,SAFE,0.65,1.01
176,GRCY,0.91,1.27
177,BCD,0.73,1.14
178,DAVA,1.12,1.75
179,XOMAP,1.29,3.01
180,ACIO,0.63,1.09
181,KVLE,0.72,1.24
182,MUSA,0.86,1.78
183,FVD,0.91,1.43
184,CNNB,1.12,1.87
185,LBAY,1.35,2.64
186,FXG,0.86,1.47
187,STZ.B,0.97,2.0
188,INSP,1.04,1.96
189,SPXE,0.77,1.17
190,KRUS,0.87,1.64
191,ACMR,0.92,2.3
192,IETC,0.92,1.53
193,RTH,1.03,1.92
194,TDV,0.68,1.14
195,AMER,0.81,1.55
196,IWL,0.9,1.44
197,HLAL,0.63,1.03
198,CNXC,0.61,1.06
199,LGLV,0.83,1.3
200,CCOR,0.67,1.28
201,QGRO,0.84,1.42
202,RXL,0.92,1.52
203,SEPZ,0.68,1.08
204,AMND,1.55,2.62
205,LFG,0.9,2.25
206,INDS,0.87,1.46
207,PFHD,1.39,3.82
208,SPSC,0.89,1.52
209,DWUS,0.59,0.95
210,TMFC,0.85,1.43
211,VSDA,0.67,1.02
212,KRYS,0.94,2.17
213,ONEW,0.68,1.05
214,ARB,1.25,2.6
215,DEF,0.87,1.36
216,NXRT,0.89,1.31
217,ELS,0.97,1.63
218,AGBA,1.76,3.52
219,FHLC,0.76,1.2
220,CHRD,2.06,7.17
221,AXNX,0.97,1.98
222,IWY,0.97,1.63
223,KNSL,1.23,2.53
224,IMXI,0.62,1.3
225,BHVN,0.89,1.76
226,VEL,1.22,3.05
227,COM,0.78,1.38
228,CDW,1.1,1.97
229,CNC,0.88,1.55
230,BDCX,1.05,1.95
231,IQSU,0.65,1.07
232,QRFT,0.61,1.01
233,VCTR,0.93,1.73
234,LANDO,1.71,3.73
235,JUST,0.8,1.26
236,DJCB,1.65,2.74
237,IBCE,0.87,1.53
238,HIFS,0.89,1.45
239,MLPR,1.65,2.81
240,RWGV,0.6,1.03
241,IVRA,0.95,1.7
242,WSC,0.77,1.17
243,ALTR,0.6,0.96
244,RECS,0.6,0.96
245,ILCB,0.86,1.33
246,AZO,0.93,1.65
247,IBDD,0.86,1.48
248,QTUM,0.97,1.58
249,AMTR,1.66,2.84
250,FDLO,0.79,1.19
251,FMIL,0.73,1.15
252,OXLCP,1.92,5.17
253,BUL,0.57,0.89
254,ACI,0.85,2.09
255,DSTL,0.94,1.61
256,ASLE,0.73,1.24
257,GDMA,0.81,1.4
258,PTRS,1.34,2.57
259,IXSE,0.55,0.77
260,ETX,0.79,1.38
261,JJA,0.82,1.56
262,APLS,0.66,1.06
263,AVGOP,0.7,1.12
264,TEQI,0.79,1.31
265,STRRP,1.06,2.05
266,GLOB,1.01,1.81
267,VFMO,0.8,1.27
268,CCNEP,1.19,1.66
269,NULG,0.81,1.27
270,JQUA,0.61,0.93
271,BSBK,1.1,3.67
272,JHMT,0.86,1.37
273,SNPE,0.59,0.92
274,PAYC,1.0,1.76
275,IHF,0.91,1.58
276,CERE,0.7,1.9
277,CBNK,0.9,1.76
278,RLI,0.89,1.41
279,BRLI,0.85,1.1
280,BF.A,0.84,1.62
281,ACA,0.86,1.51
282,ONTO,0.78,1.36
283,APPF,0.91,1.73
284,LEAD,0.81,1.31
285,LEGN,0.83,1.93
286,CAPD,1.0,1.65
287,BAFN,0.67,1.12
288,CPK,0.85,1.51
289,ESPO,0.86,1.46
290,BOCT,0.8,1.25
291,KEN,1.04,2.12
292,SITE,0.78,1.29
293,PFX,1.24,3.43
294,SPMO,0.82,1.3
295,BRP,0.67,1.36
296,PXSAP,0.96,1.66
297,ECLN,0.68,1.08
298,CSSEN,1.35,3.01
299,AMNA,1.65,2.84
300,SSPY,0.53,0.81
301,ARES,0.88,1.56
302,IHAK,0.63,1.15
303,BFC,0.99,2.01
304,SIXH,0.72,1.13
305,HGLB,0.6,0.83
306,PTNQ,0.82,1.31
307,DBMF,1.21,2.83
308,NOCT,0.53,0.85
309,NFE,0.95,2.38
310,NEN,0.86,1.55
