,Symbol,Sharpe,Sortino
0,CHRD,2.06,7.17
1,CRC,1.34,2.84
2,MBIN,0.62,0.99
3,VCTR,0.93,1.73
4,CBNK,0.9,1.76
5,CWEN,0.9,1.49
6,FLNG,1.21,2.27
7,ACI,0.85,2.09
8,CCAP,1.25,2.13
9,MUSA,0.86,1.78
10,HLI,0.88,1.66
11,MNRL,0.64,1.03
12,CNXC,0.61,1.06
13,BFC,0.99,2.01
14,HLNE,0.63,1.18
15,ELV,0.92,1.64
16,SFBS,0.87,1.6
17,AWK,1.1,1.94
18,AVGO,1.06,2.01
19,CDW,1.1,1.97
20,ENSG,0.88,1.64
21,DG,0.91,1.61
22,KDP,1.05,2.11
23,BAH,0.94,1.83
24,CPK,0.85,1.51
25,CTVA,1.28,2.35
26,CSWI,0.82,1.47
27,ACN,0.89,1.47
28,RLI,0.89,1.41
29,WMS,0.81,1.41
30,ACA,0.86,1.51
31,V,1.21,2.26
32,PAYX,0.87,1.45
33,MA,1.16,2.01
34,DHR,0.98,1.8
35,RSG,1.09,1.87
36,ZTS,0.95,1.6
37,BR,1.05,1.86
38,BF.A,0.84,1.62
39,KNSL,1.23,2.53
40,BIP,1.03,1.74
41,MSCI,0.99,1.67
42,ARES,0.88,1.56
43,TW,0.6,1.05
44,NEE,1.16,1.91
45,WING,0.81,1.9
